             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          51009181   compute 0155.h2c   mdavis  R   19:57:16      1 node14
	  51009182   compute 0156.h2c   mdavis  Q   19:57:16      1 node14
          51009183   compute 0157.h2c   mdavis PD   19:57:16      1 node14
          51009184   compute 0158.h2c   mdavis  R   19:57:16      1 node14
          51009185   compute 0159.h2c   mdavis  R   19:57:16      1 node14
          51009191   compute 0165.h2c   mdavis  R   19:57:16      1 node9
          51009194   compute 0168.h2c   mdavis  R   19:57:16      1 node9
          51009203   compute 0177.h2c   mdavis  R   19:54:44      1 node2
          51009208   compute 0182.h2c   mdavis  R   19:53:22      1 node15
          51009210   compute 0184.h2c   mdavis  R   19:53:22      1 node4
